Candidates,Voters,Dispersion,Voting Method,L=1,L=2,L=3,L=4,L=5,L=6,L=7
5,400,1,Bucklin,0.319,0.471,1.0,1.0,1.0,0,0
5,400,1,Plurality With Runoff,0.581,0.726,0.825,1.0,1.0,0,0
5,400,1,Coombs,0.408,0.51,0.646,1.0,1.0,0,0
5,500,0.7,Schulze,0.998,1.0,1.0,1.0,1.0,0,0
5,500,0.7,Bucklin,0.998,1.0,1.0,1.0,1.0,0,0
5,500,0.7,Plurality With Runoff,0.998,1.0,1.0,1.0,1.0,0,0
5,500,0.7,Coombs,0.998,1.0,1.0,1.0,1.0,0,0
5,500,0.8,Schulze,0.963,0.989,0.993,1.0,1.0,0,0
5,500,0.8,Bucklin,0.952,0.995,1.0,1.0,1.0,0,0
5,500,0.8,Plurality With Runoff,0.963,0.989,0.993,1.0,1.0,0,0
5,500,0.8,Coombs,0.963,0.989,0.993,1.0,1.0,0,0
5,500,0.9,Schulze,0.787,0.878,0.935,1.0,1.0,0,0
5,500,0.9,Bucklin,0.727,0.794,1.0,1.0,1.0,0,0
5,500,0.9,Plurality With Runoff,0.803,0.889,0.94,1.0,1.0,0,0
5,500,0.9,Coombs,0.784,0.874,0.93,1.0,1.0,0,0
5,500,1,Schulze,0.497,0.632,0.798,1.0,1.0,0,0
5,500,1,Bucklin,0.337,0.453,1.0,1.0,1.0,0,0
5,500,1,Plurality With Runoff,0.616,0.735,0.853,1.0,1.0,0,0
5,500,1,Coombs,0.422,0.528,0.674,1.0,1.0,0,0
5,600,0.7,Schulze,1.0,1.0,1.0,1.0,1.0,0,0
5,600,0.7,Bucklin,0.999,1.0,1.0,1.0,1.0,0,0
5,600,0.7,Plurality With Runoff,1.0,1.0,1.0,1.0,1.0,0,0
5,600,0.7,Coombs,1.0,1.0,1.0,1.0,1.0,0,0
5,600,0.8,Schulze,0.979,0.998,0.998,1.0,1.0,0,0
5,600,0.8,Bucklin,0.971,0.995,1.0,1.0,1.0,0,0
5,600,0.8,Plurality With Runoff,0.979,0.998,0.998,1.0,1.0,0,0
5,600,0.8,Coombs,0.979,0.998,0.998,1.0,1.0,0,0
5,600,0.9,Schulze,0.808,0.904,0.939,1.0,1.0,0,0
5,600,0.9,Bucklin,0.719,0.813,1.0,1.0,1.0,0,0
5,600,0.9,Plurality With Runoff,0.813,0.909,0.941,1.0,1.0,0,0
5,600,0.9,Coombs,0.8,0.896,0.935,1.0,1.0,0,0
5,600,1,Schulze,0.494,0.629,0.778,1.0,1.0,0,0
5,600,1,Bucklin,0.318,0.462,1.0,1.0,1.0,0,0
5,600,1,Plurality With Runoff,0.59,0.744,0.858,1.0,1.0,0,0
5,600,1,Coombs,0.392,0.522,0.65,1.0,1.0,0,0
5,2000,0.7,Schulze,1.0,1.0,1.0,1.0,1.0,0,0
5,2000,0.7,Bucklin,1.0,1.0,1.0,1.0,1.0,0,0
5,2000,0.7,Plurality With Runoff,1.0,1.0,1.0,1.0,1.0,0,0
5,2000,0.7,Coombs,1.0,1.0,1.0,1.0,1.0,0,0
5,2000,0.8,Schulze,0.999,1.0,1.0,1.0,1.0,0,0
5,2000,0.8,Bucklin,0.999,1.0,1.0,1.0,1.0,0,0
5,2000,0.8,Plurality With Runoff,0.999,1.0,1.0,1.0,1.0,0,0
5,2000,0.8,Coombs,0.999,1.0,1.0,1.0,1.0,0,0
5,2000,0.9,Schulze,0.942,0.981,0.99,1.0,1.0,0,0
5,2000,0.9,Bucklin,0.914,0.938,1.0,1.0,1.0,0,0
